,Vehicle_S1,Vehicle_S2,Vehicle_S9,SMAC_S3,SMAC_S11,SMAC_S12,ICB_S5,ICB_S13,ICB_S14,SMAC+ICB_S7,SMAC+ICB_S8,SMAC+ICB_S15
Ldha,11.5871715253293,11.6662398836973,11.5977711836915,11.8437059077602,11.6640816777321,11.4269304903631,11.4466058060134,11.7034681594373,11.4996424158121,11.7147498793127,11.4908572640215,11.1911191923097
Ppia,11.1958613684655,11.4656664284521,11.1467187261424,11.9591029496345,11.4048978051518,11.3398700946688,11.4476412089544,11.2421844173698,11.5778829373892,11.7375102572786,11.2826088794055,11.3730409517641
Actb,11.2139850146589,11.5912576080031,11.17809645982,11.2543044293246,11.7784237860275,11.2973849367453,11.3183980307047,11.3101804434968,11.5482428657772,11.4028738861775,11.5069566326311,11.259310387763
mt-Nd1,11.3284729047883,11.1026110648721,11.4650273279954,11.3264398244021,11.6809849736432,11.5985979563203,11.1989174798271,11.2294915355527,11.559389199329,11.2162520577492,10.3363141963306,11.9012291656407
Tpi1,11.3189871094067,11.4073245517962,11.3452542457319,11.5386157832917,11.500338142293,11.1866335184746,11.306170083484,11.335061160462,11.3266477215887,11.284026685994,11.3312954733134,10.9377716799913
mt-Nd4,11.1138696858474,10.9349088556235,11.2646515110277,11.0700217088552,11.5402252258902,11.4615912936989,11.0431718764906,11.0455352221362,11.4196852357889,11.0614183748438,10.2324073759833,11.4453602869372
Ptma,10.8943509602733,11.2370708413775,10.843902323297,11.2914283477688,11.1970676780182,11.0537630352856,10.9084273713047,11.0514134546781,11.1110746361264,11.0663417114434,10.9424801847712,11.3296188516122
Rplp0,10.8129134540358,10.9582711351335,10.7514537620558,11.8307278983503,10.8794074513419,10.8294334558318,10.9116520500986,10.8644183822046,10.9153421574899,11.3179020406196,10.8290429285089,11.0841711664431
Scd2,11.5987721657586,11.0066131654752,11.6332761020145,10.4994974697057,11.1530498947377,11.0361948002978,10.7706064868759,10.6970749637872,10.641247364762,10.3420568037828,10.8138905038488,11.2711066095187
Tuba1b,10.7336846740458,11.1050021468562,10.643611068568,11.4303632237955,11.112977661939,10.7575218297153,10.659255468504,10.7857186312133,10.9461965981215,11.0873695492507,10.9734346367605,11.1359327337387
Hsp90aa1,10.7272023212988,11.0800239302764,10.6260849103296,10.757786271796,10.9576055914896,10.7381936478254,10.7700816796526,10.7044396032782,11.2049151897507,10.8267051088249,11.065711746551,11.1724307110204
Rpsa,10.7026561560636,10.9732229914179,10.6093173028404,11.4974655506825,10.8222266119543,10.6925191553904,10.7129206427558,10.7634448222333,11.0448723771681,11.0681480117569,10.6921531548224,11.0240879324279
Vim,10.6070927713191,10.7217139021773,10.5385919905617,10.6281493063669,11.0154606727705,10.7804758529001,10.7218826808571,11.2309073830355,10.6852390249976,10.9133076966665,10.90841769319,10.9075379517688
Rps2,10.6565318485091,10.8333679402128,10.6287774033556,11.3795079195228,10.7767998718173,10.6911738649943,10.4637704111616,10.7785757501109,10.7998858680639,10.9191486464834,10.7076461628307,11.0157381933255
mt-Nd5,10.8434347542115,10.4334872440362,10.9905573510336,10.6994957609546,11.1580485408204,10.9431913556611,10.8468968280686,10.7984585420152,10.7862182332439,10.896319596923,9.92736796237434,11.0007738329049
Atp5b,10.7475977926002,10.855581857938,10.6776658681081,10.8783012925238,10.690798907933,10.6253783929899,10.6943597935116,10.716275085353,10.8023076588691,10.8355881984424,10.775553061374,10.7198706527879
mt-Co3,10.3060129509959,10.6890479020448,10.5378145441257,10.9528689752396,10.9380793108838,10.6823267362428,10.6758156799488,10.6862491709057,11.0969722854786,10.8429368789853,10.2699604447792,11.3020088158389
Met,10.4883869748565,10.8739914859211,10.5816324380752,10.3749594585962,10.6569777899485,10.7638257506606,11.0503380365394,10.6727098040256,10.9314615691787,10.7993032082466,10.9499339196491,10.6922349698502
Rpl4,10.8704304055409,10.8813166295697,10.7732423374515,10.6697222827837,10.7150854218447,10.6749607256186,10.6956358185141,10.7766747491105,10.7542058376725,10.6124545027821,10.6210190782376,10.6515816985442
Gpi1,10.9545446187653,10.6983274994346,10.9158365073675,10.4314759745666,10.7815900618381,10.591013165654,10.7407132426848,11.0764144993002,10.6636555269265,10.5930841889712,10.5246638177807,10.0520788004651
mt-Co2,10.3608361817739,10.9906510965628,10.5877735983475,11.0991874608598,11.0167540063551,10.6793848435156,10.5679601822369,10.6230347076054,11.1247640534264,10.4396301461008,9.46462867985754,10.8431918762146
Pgam1,10.6576860675608,10.639797180227,10.7097005428707,10.9622146171065,10.73605631249,10.5287589052975,10.5764354784318,10.6280717862555,10.5229491060206,10.6620610359011,10.6285485463382,10.4410981140961
Rack1,10.4310613706763,10.5877204097757,10.2777117856094,11.3340995704078,10.5235942906609,10.3733528429445,10.5870631989983,10.3979234951162,10.5063724576921,10.9837331213465,10.5229834156989,10.4202115208966
Fth1,10.4152660699289,10.6915754435397,10.3934246347905,10.7878746693425,10.4230574994217,10.4039023482288,10.5980681743349,10.6309884913905,11.0556014118593,10.5121942455061,10.4558236261139,10.556105104029
Ctnnb1,10.7375601508029,10.7289666164366,10.7091191113782,10.1196673914488,10.4823558053904,10.5588257207371,10.4844415946512,10.5826781243888,10.5001143897951,10.2306272998689,10.3838933841536,10.1942203253606
Rps3a1,10.3037358745818,10.6148196245161,10.284996658113,10.9250485588335,10.4490203583841,10.3445113203656,10.1777821992214,10.4845033296808,10.5974665233909,10.5400452088516,10.2574387671205,10.6854827771147
Ubb,10.3038028987417,10.4833518621973,10.3418005658881,10.5140952855135,10.560142911289,10.3987210406286,10.6783565464985,10.240050144864,10.5433022002687,10.6322538036585,10.5980146424634,10.3545180821052
Rpl8,10.3268083166988,10.4793787003892,10.2326565726501,10.860990041642,10.4631845696047,10.354382267855,10.1886377892318,10.3922999678101,10.5033379508819,10.5626107886473,10.3384919698996,10.5091961418979
Tubb5,10.356836309227,10.588263072151,10.248098717764,10.3904141108896,10.5785762976302,10.2984850141566,10.2156322485148,10.358872676226,10.3672219887235,10.3480165257963,10.4238129959679,10.393453355965
Hsp90b1,10.3779358437542,10.4206251832491,10.1964010279445,10.2370131559496,10.3620894821302,10.259889439062,10.2782367849041,9.84405164494169,10.6164087057036,10.3761216957261,10.445708540231,10.8971853136464
Rpl3,10.3449000066219,10.3870862456578,10.2181204794922,10.69533866208,10.2268605889612,10.2319337405717,10.3610411618246,10.4296773333786,10.3154974490773,10.5322146594897,10.1903847239078,10.154327323816
