cell_type,Vehicle_S1,Vehicle_S2,Vehicle_S9,SMAC_S3,SMAC_S11,SMAC_S12,ICB_S5,ICB_S13,ICB_S14,SMAC+ICB_S7,SMAC+ICB_S8,SMAC+ICB_S15
Monocyte_CIBERSORT-ABS,0.00352155989414172,0,0.000986743033977904,0.00213945680474693,0.00176335562997681,0.00299919208280453,0.0028311307840383,0.00664322725640298,0,0.00930209693987183,0.00332185857377923,0
Macrophage M0_CIBERSORT-ABS,0,0,0,0.00267804438121042,0,0,0,0,0,0.0014654763816802,0.00423500329323554,0.015301754051105
Macrophage M1_CIBERSORT-ABS,0.000140627950824925,0.00116197630485349,0.0011723786023412,0.0016132007928026,0.0066198191645661,0.00192957924626861,0.00328976068229286,0.0136926180720635,0.0141095852068991,0.0149656943217862,0.020159019709244,0.00315977284631744
Macrophage M2_CIBERSORT-ABS,0,0,0,0,0,0,0,0.000586558676813344,0,0,0,0.0146658654952667
Myeloid dendritic cell resting_CIBERSORT-ABS,0.000348549884179702,0.00996791634102711,0.0090486677416514,0.0036243178259359,0.0177491246341812,0.014740414873721,0.00421972461970886,0.0177863420558167,0.0225862480921058,0.0360278983959753,0.00541284254537775,0.0141528592452114
Myeloid dendritic cell activated_CIBERSORT-ABS,0,0,0,0,0,0,0,0,0,0,0,0
Mast cell activated_CIBERSORT-ABS,0.00354232503748482,0.00385974058867822,0.00426950928085592,0.0100866451746414,0.00297661650013636,0.00638395292535828,0.0196121808270162,0.00832977488405514,0.0040682056071216,0.0102314833239498,0.0270902968078514,0.0102145109720833
Mast cell resting_CIBERSORT-ABS,0,0,0,0,0.00217089421749526,0,0,0,0,0,0,0.0266118302247022
Eosinophil_CIBERSORT-ABS,0.00179328362043204,8.09668487127621e-05,0,0.000836138886225664,0.000323210438279482,0,0,0.00283099881883531,0.00135785826783227,0.000608111802053415,0.00342746726041345,0
Neutrophil_CIBERSORT-ABS,0,0,0,0,0,0,0,0,0,0,0,0.00423533442833175
B cell_QUANTISEQ,0.0496478657186188,0.044579473416447,0.0509193115771886,0.0326149378924882,0.0376088447295771,0.046779492969637,0.042438003349986,0.0491679641590659,0.0471132627621568,0.0401655728839832,0.0475413601219977,0.0400307839981204
Macrophage M1_QUANTISEQ,0,0,0,0,0,0,0,0,0,0,0,0
Macrophage M2_QUANTISEQ,0,0,0,0,0,0,0,0,0,0,0,0
Monocyte_QUANTISEQ,0.153124308497442,0.126744508275305,0.165779476388108,0.132450618064273,0.161057023919981,0.155347156481001,0.192628514478846,0.153763075891487,0.135740734035883,0.16071484253087,0.17512113381254,0.138167627938643
Neutrophil_QUANTISEQ,0,0,0,0,0,0,0,0,0,0,0,0.0162084237874499
NK cell_QUANTISEQ,0.0245403752726484,0.0210576417278468,0.0248026415236967,0.020970795445481,0.0282446824655092,0.023945582616026,0.0290952119829842,0.0309148253366308,0.0221206946774548,0.0273738747519441,0.0266612275415781,0.0238599782222627
T cell CD4+ (non-regulatory)_QUANTISEQ,0,0,0,0,0,0,0,0,0,0,0,0
T cell CD8+_QUANTISEQ,0,0,0,0,0,0,0.00282099675660606,0,0.00111151895869275,0.00547122938550785,0.00789498997441637,0
T cell regulatory (Tregs)_QUANTISEQ,0.0245332343052616,0.0221568449354869,0.0268161397424868,0.0192005951444155,0.0228064673365634,0.0207369642659295,0.0248725683942052,0.0234819823309165,0.0198777087057364,0.0228184206158004,0.021446614624299,0.0217381664223667
Myeloid dendritic cell_QUANTISEQ,0,0,0,0,0,0,0,0,0,0,0,0.00302087307666955
uncharacterized cell_QUANTISEQ,0.748154216206029,0.785461531644915,0.73168243076852,0.794763053453343,0.750282981548369,0.753190803667407,0.708144705037373,0.7426721522819,0.774036080860076,0.743456059831894,0.721334673925169,0.756974146554487
T cell_MCPCOUNTER,-3.59654842802777,-3.6351988896103,-2.55147482313357,-1.5797419621669,-1.59087628403341,-2.12382272295947,-0.285440036936475,-0.817015209588905,-0.716964359431232,0.219461911970407,-0.277045799284721,-0.809926660029972
T cell CD8+_MCPCOUNTER,-5.0899562301206,-5.11036021286545,-3.24553160546328,-2.92742243011499,-3.65166935390121,-2.46994369978635,0.199802049151368,-0.133053725916077,-0.784161805309971,0.967881489065614,1.47851923709359,-0.866622429078823
